RecipeDB Ingredient,Sueatable Ingredient,Similarity,CF,Count,CF_Range
chourico pork sausage,PORK SAUSAGE,0.95159316,17.94,4.0,"[16, 18)"
riesling,CAMEMBERT,0.8737777,7.55,4.0,"[6, 8)"
crabmeat shrimp,SHRIMP,0.89352417,11.95,4.0,"[10, 12)"
mini cheese ravioli,CHEESE SEMIHARD,0.8903755,8.65,4.0,"[8, 10)"
feta parmesan cheese,CHEESE SEMIHARD,0.88594544,8.65,4.0,"[8, 10)"
lamb shoulder blade chop,LAMB WITH BONE,0.83236146,18.01,4.0,"[18, 20)"
chocolate peanut,ALMOND CHOCOLATE,0.8993735,4.8,4.0,"[4, 6)"
montasio cheese,CHEESE,0.84679383,11.87,4.0,"[10, 12)"
beef ribeye steak,BEEF WITH BONE,0.9013424,19.54,4.0,"[18, 20)"
live crawfish,CUTTLEFISH,0.8146896,5.05,4.0,"[4, 6)"
tail shrimp,SHRIMP,0.905287,11.95,4.0,"[10, 12)"
rouladen beef,BEEF WITH BONE,0.84644365,19.54,4.0,"[18, 20)"
lamb shoulder steak,LAMB WITH BONE,0.82921064,18.01,4.0,"[18, 20)"
goya salsita,GRANA PADANO,0.8411703,14.27,4.0,"[14, 16)"
goya sazonador total,GRANA PADANO,0.8188008,14.27,4.0,"[14, 16)"
shark fillet,SHARK,0.9200984,10.09,4.0,"[10, 12)"
beef tri tip steak,BEEF WITH BONE,0.87672293,19.54,4.0,"[18, 20)"
kwa,HAKE,0.86337626,10.12,4.0,"[10, 12)"
cheemo perogies,HAKE,0.83614224,10.12,4.0,"[10, 12)"
process cheese sauce,CHEESE SEMIHARD,0.8705934,8.65,4.0,"[8, 10)"
carnitas pork,PORK HAM,0.8851874,7.93,4.0,"[6, 8)"
beef bouillon paste,BEEF WITH BONE,0.8549801,19.54,4.0,"[18, 20)"
cream sauce,CREAM,0.8983109,5.34,4.0,"[4, 6)"
rom,EMMENTAL,0.8146337,8.2,4.0,"[8, 10)"
calabaza,GRANA PADANO,0.8335358,14.27,4.0,"[14, 16)"
reggiano parmesan cheese,CHEESE SEMIHARD,0.8659048,8.65,4.0,"[8, 10)"
ball mozzarella cheese bocconcini,CHEESE SEMIHARD,0.8234498,8.65,4.0,"[8, 10)"
puri,HAKE,0.8506756,10.12,4.0,"[10, 12)"
rabbit meat,RABBIT WITH BONE,0.833858,4.31,4.0,"[4, 6)"
lime cream,CREAM,0.8301289,5.34,4.0,"[4, 6)"
fillet fish,FISH MIXED,0.9104879,4.01,4.0,"[4, 6)"
chorize sausage,PORK SAUSAGE,0.81446236,17.94,4.0,"[16, 18)"
pork picnic roast,PORK SAUSAGE,0.82206535,17.94,4.0,"[16, 18)"
recao,GRANA PADANO,0.8339985,14.27,4.0,"[14, 16)"
cheddar jack cheese,CHEESE SEMIHARD,0.8672843,8.65,4.0,"[8, 10)"
goya alcaparrado,GRANA PADANO,0.85001636,14.27,4.0,"[14, 16)"
buttery,BUTTER,0.87352693,9.9,4.0,"[8, 10)"
molukhia,HAKE,0.8385177,10.12,4.0,"[10, 12)"
provolone mozzarella cheese,CHEESE SEMIHARD,0.8450654,8.65,4.0,"[8, 10)"
cheese velveeta,CHEESE SEMIHARD,0.8727801,8.65,4.0,"[8, 10)"
rack pork rib,PORK SAUSAGE,0.8932613,17.94,4.0,"[16, 18)"
bacon sausage,BACON,0.9217773,4.03,4.0,"[4, 6)"
chinese roast pork,PORK SAUSAGE,0.8351613,17.94,4.0,"[16, 18)"
shortening butter,BUTTER,0.8229131,9.9,4.0,"[8, 10)"
lobster ravioli,LOBSTER,0.8476231,19.3,4.0,"[18, 20)"
shell shrimp,SHRIMP,0.9153975,11.95,4.0,"[10, 12)"
belacan shrimp paste,SHRIMP,0.8248286,11.95,4.0,"[10, 12)"
oil tuna,TUNA,0.85070765,4.68,4.0,"[4, 6)"
shell prawn,PRAWN,0.92350805,11.95,4.0,"[10, 12)"
pork casing,PORK NECK,0.9325359,4.03,4.0,"[4, 6)"
tagliatelle,STRACCHINO,0.86360765,4.92,4.0,"[4, 6)"
pork spare rib rack,PORK HAM,0.9016355,7.93,4.0,"[6, 8)"
beef tri tip roast,PORK SAUSAGE,0.82635206,17.94,4.0,"[16, 18)"
polish beef sausage,PORK SAUSAGE,0.8592103,17.94,4.0,"[16, 18)"
italian sausage meat,PORK SAUSAGE,0.84226596,17.94,4.0,"[16, 18)"
spanish chorizo pork sausage,PORK SAUSAGE,0.89644146,17.94,4.0,"[16, 18)"
stew beef,BEEF WITH BONE,0.85504997,19.54,4.0,"[18, 20)"
beef knuckle meat,BEEF WITH BONE,0.9165243,19.54,4.0,"[18, 20)"
ball mozzarella,MOZZARELLA,0.8914034,8.48,4.0,"[8, 10)"
sirloin beef tip,BEEF WITH BONE,0.8798279,19.54,4.0,"[18, 20)"
leg lamb meat,LAMB WITH BONE,0.871807,18.01,4.0,"[18, 20)"
grana padano cheese,CHEESE SEMIHARD,0.84554565,8.65,4.0,"[8, 10)"
dukka,HAKE,0.88544524,10.12,4.0,"[10, 12)"
chinese barbeque pork,PORK HAM,0.8590976,7.93,4.0,"[6, 8)"
pecorino siciliano cheese,CHEESE SEMIHARD,0.8334731,8.65,4.0,"[8, 10)"
romano parmesan cheese,CHEESE SEMIHARD,0.8626627,8.65,4.0,"[8, 10)"
kraft milk mozzarella cheese,CHEESE SEMIHARD,0.8426387,8.65,4.0,"[8, 10)"
skin pork belly,PORK NECK,0.87189066,4.03,4.0,"[4, 6)"
shrimp meat,SHRIMP,0.8887344,11.95,4.0,"[10, 12)"
weisswurst sausage,PORK SAUSAGE,0.8243134,17.94,4.0,"[16, 18)"
maifun,HAKE,0.8201588,10.12,4.0,"[10, 12)"
nettle,HAKE,0.8338392,10.12,4.0,"[10, 12)"
chinese pork,PORK HAM,0.8156053,7.93,4.0,"[6, 8)"
vegan nacho cheese,CHEESE SEMIHARD,0.8246995,8.65,4.0,"[8, 10)"
beef filet mignon steak,BEEF WITH BONE,0.8239318,19.54,2.0,"[18, 20)"
kefalograviera cheese parmesan,CHEESE SEMIHARD,0.8569144,8.65,2.0,"[8, 10)"
prawn each,PRAWN,0.89554036,11.95,2.0,"[10, 12)"
meat beef lamb mix,BEEF WITH BONE,0.83138674,19.54,2.0,"[18, 20)"
chocolate nut,CHOCOLATE,0.9358262,6.6,2.0,"[6, 8)"
rib eye steak edge,BEEF WITH BONE,0.8369293,19.54,2.0,"[18, 20)"
dl cream,CREAM,0.89208686,5.34,2.0,"[4, 6)"
goat,GOAT CHEESE,0.8411051,8.18,2.0,"[8, 10)"
extra creamy cream,CREAM,0.81955135,5.34,2.0,"[4, 6)"
turkey sausage patty,PORK SAUSAGE,0.8477691,17.94,2.0,"[16, 18)"
oxo cube beef stock,BEEF WITH BONE,0.8127167,19.54,2.0,"[18, 20)"
mizithra cheese may,CHEESE SEMIHARD,0.83758575,8.65,2.0,"[8, 10)"
lamb loin,LAMB WITH BONE,0.86426604,18.01,2.0,"[18, 20)"
cheese cottage,CHEESE SEMIHARD,0.87138176,8.65,2.0,"[8, 10)"
kefalotyri gruyere reggiano,PARMIGIANO REGGIANO,0.87988496,14.08,2.0,"[14, 16)"
pork tenderloin total,PORK HAM,0.869932,7.93,2.0,"[6, 8)"
mizithra cheese ricotta,CHEESE SEMIHARD,0.8896993,8.65,2.0,"[8, 10)"
pork loin lamb,PORK HAM,0.8900612,7.93,2.0,"[6, 8)"
pork dripping lard,PORK HAM,0.84932095,7.93,2.0,"[6, 8)"
havarti cheese herb,CHEESE SEMIHARD,0.81476164,8.65,2.0,"[8, 10)"
pork leg roast,PORK SAUSAGE,0.90632653,17.94,2.0,"[16, 18)"
chocolate extract,CHOCOLATE,0.92009825,6.6,2.0,"[6, 8)"
hot pork gravy,PORK SAUSAGE,0.8571466,17.94,2.0,"[16, 18)"
regato cheese,CHEESE,0.9139643,11.87,2.0,"[10, 12)"
pork loin rib chop,PORK SAUSAGE,0.8655956,17.94,2.0,"[16, 18)"
bacos bacon bit,BACON,0.92786837,4.03,2.0,"[4, 6)"
calorie butter,BUTTER,0.91032124,9.9,2.0,"[8, 10)"
feta cheese oil,CHEESE SEMIHARD,0.85663795,8.65,2.0,"[8, 10)"
lard pork,PORK NECK,0.9086925,4.03,2.0,"[4, 6)"
stewing pork,PORK SAUSAGE,0.9050782,17.94,2.0,"[16, 18)"
feta cheese pepper,CHEESE SEMIHARD,0.83325624,8.65,2.0,"[8, 10)"
shrimp segment,SHRIMP,0.963344,11.95,2.0,"[10, 12)"
mousse boughtt,CAMEMBERT,0.8347141,7.55,2.0,"[6, 8)"
catfish choice,CATFISH,0.9243635,8.93,2.0,"[8, 10)"
beef gravy shank,BEEF WITH BONE,0.8843081,19.54,2.0,"[18, 20)"
jarlsberg cheese cube,CHEESE SEMIHARD,0.85636973,8.65,2.0,"[8, 10)"
chip steak,BEEF WITH BONE,0.82828754,19.54,2.0,"[18, 20)"
extra meat beef,BEEF WITH BONE,0.8378645,19.54,2.0,"[18, 20)"
cheese frosting,CHEESE SEMIHARD,0.8394654,8.65,2.0,"[8, 10)"
fillet hake,HAKE,0.8917507,10.12,2.0,"[10, 12)"
goya beef bouillon,BEEF WITH BONE,0.84926724,19.54,2.0,"[18, 20)"
morbier cheese,CHEESE,0.8623786,11.87,2.0,"[10, 12)"
pork escalopes,PORK HAM,0.9168316,7.93,2.0,"[6, 8)"
sausage pork,PORK SAUSAGE,0.990335,17.94,2.0,"[16, 18)"
manouri cheese mizithra,CHEESE SEMIHARD,0.84199995,8.65,2.0,"[8, 10)"
cheddar colby cheese,CHEESE SEMIHARD,0.8882602,8.65,2.0,"[8, 10)"
roncal cheese,CHEESE,0.9121995,11.87,2.0,"[10, 12)"
vanilla cooky,VANILLA,0.88171846,4.3,2.0,"[4, 6)"
combination,HAKE,0.8198437,10.12,2.0,"[10, 12)"
orzo rotini,STRACCHINO,0.8688017,4.92,2.0,"[4, 6)"
greek feta cheese dressing,CHEESE SEMIHARD,0.84367436,8.65,2.0,"[8, 10)"
bologna sausage,PORK SAUSAGE,0.83622473,17.94,2.0,"[16, 18)"
veal cutlet each pork,PORK SAUSAGE,0.81773883,17.94,2.0,"[16, 18)"
butter clam,BUTTER,0.81238306,9.9,2.0,"[8, 10)"
gamba shrimp,SHRIMP,0.91955817,11.95,2.0,"[10, 12)"
manchego goat cheese,GOAT CHEESE,0.92615974,8.18,2.0,"[8, 10)"
rib pork loin chop,PORK SAUSAGE,0.88253033,17.94,2.0,"[16, 18)"
san pellegrrino,PARMIGIANO REGGIANO,0.84871066,14.08,2.0,"[14, 16)"
pork tenderloin fillet,PORK SAUSAGE,0.8870664,17.94,2.0,"[16, 18)"
rack baby back pork,PORK NECK,0.81287587,4.03,2.0,"[4, 6)"
beef jerky venison,BEEF WITH BONE,0.8420613,19.54,2.0,"[18, 20)"
pot cheese farmer,CHEESE SEMIHARD,0.81683624,8.65,2.0,"[8, 10)"
beef roulade,BEEF WITH BONE,0.87889373,19.54,2.0,"[18, 20)"
eidam cheese,CHEESE,0.8671113,11.87,2.0,"[10, 12)"
pork shoulder tenderloin,PORK SAUSAGE,0.8901642,17.94,2.0,"[16, 18)"
norwegian goat cheese,GOAT CHEESE,0.87270784,8.18,2.0,"[8, 10)"
beef gravy stock,BEEF WITH BONE,0.8705704,19.54,2.0,"[18, 20)"
lamb loin fillet,LAMB WITH BONE,0.86415464,18.01,2.0,"[18, 20)"
valrhona gran chocolate,CHOCOLATE,0.87958795,6.6,2.0,"[6, 8)"
farmer john cheese curd,CHEESE SEMIHARD,0.83136135,8.65,2.0,"[8, 10)"
veal meatloaf mix beef,BEEF WITH BONE,0.8439805,19.54,2.0,"[18, 20)"
appleton goat cheese,GOAT CHEESE,0.9056445,8.18,2.0,"[8, 10)"
potato sausage,PORK SAUSAGE,0.8293253,17.94,2.0,"[16, 18)"
lye,HAKE,0.85934794,10.12,2.0,"[10, 12)"
madrilene beef broth,BEEF WITH BONE,0.81561774,19.54,2.0,"[18, 20)"
lard no,SOLE,0.8243705,5.4,2.0,"[4, 6)"
meat pork beef pepper,PORK SAUSAGE,0.85638094,17.94,2.0,"[16, 18)"
bryndza cheese manouri,CHEESE SEMIHARD,0.8654933,8.65,2.0,"[8, 10)"
extract vanilla,VANILLA,0.9082946,4.3,2.0,"[4, 6)"
vegetable bouillon beef,BEEF WITH BONE,0.85084933,19.54,2.0,"[18, 20)"
pork jowl,PORK NECK,0.94132197,4.03,2.0,"[4, 6)"
cheese pizza mix,CHEESE SEMIHARD,0.8603374,8.65,2.0,"[8, 10)"
beef stock gravy mix,BEEF WITH BONE,0.8599663,19.54,2.0,"[18, 20)"
single strength beef broth,BEEF BONE FREE,0.84006023,27.72,2.0,"[26, 28)"
beef cube steak meat,BEEF WITH BONE,0.8757968,19.54,2.0,"[18, 20)"
stock beef cube,BEEF WITH BONE,0.833866,19.54,2.0,"[18, 20)"
beef chuckeye roast,PORK SAUSAGE,0.81794226,17.94,2.0,"[16, 18)"
beef kabob skewer,BEEF WITH BONE,0.87583864,19.54,2.0,"[18, 20)"
butter icing,BUTTER,0.8349135,9.9,2.0,"[8, 10)"
nacho cheese soup mix,CHEESE SEMIHARD,0.83060664,8.65,2.0,"[8, 10)"
yves satay veggie beef skewer,BEEF WITH BONE,0.84663534,19.54,2.0,"[18, 20)"
bottom sirloin beef cap,BEEF WITH BONE,0.8615692,19.54,2.0,"[18, 20)"
sirloin beef tip meat,BEEF WITH BONE,0.89321923,19.54,2.0,"[18, 20)"
campbell right,EMMENTAL,0.84319806,8.2,2.0,"[8, 10)"
cheese salsa dip,CHEESE SEMIHARD,0.8217381,8.65,2.0,"[8, 10)"
pork butt chop,PORK SAUSAGE,0.89684355,17.94,2.0,"[16, 18)"
sirloin steak one,BEEF WITH BONE,0.8296399,19.54,2.0,"[18, 20)"
beef gravy consomme,BEEF WITH BONE,0.8695253,19.54,2.0,"[18, 20)"
cheddar cheese dip,CHEESE SEMIHARD,0.8549581,8.65,2.0,"[8, 10)"
beurre manie butter,BUTTER,0.87772834,9.9,2.0,"[8, 10)"
beef loin sirloin roast,BEEF WITH BONE,0.8291471,19.54,2.0,"[18, 20)"
beef strip steak,BEEF WITH BONE,0.88985807,19.54,2.0,"[18, 20)"
steak beef,BEEF WITH BONE,0.9094791,19.54,2.0,"[18, 20)"
center beef tenderoin roast,BEEF WITH BONE,0.81749415,19.54,2.0,"[18, 20)"
beef tenderloin crosswise,BEEF WITH BONE,0.8514737,19.54,2.0,"[18, 20)"
beef rib fine,BEEF WITH BONE,0.8723296,19.54,2.0,"[18, 20)"
chipolata beef sausage,PORK SAUSAGE,0.8649682,17.94,2.0,"[16, 18)"
beef chunk roast,PORK SAUSAGE,0.85678333,17.94,2.0,"[16, 18)"
beef rib rack,BEEF WITH BONE,0.90846014,19.54,2.0,"[18, 20)"
carl buddig beef meat,BEEF WITH BONE,0.8721035,19.54,2.0,"[18, 20)"
ramen noodle beef,BEEF WITH BONE,0.8140411,19.54,2.0,"[18, 20)"
fajita marinade,GRANA PADANO,0.8369204,14.27,2.0,"[14, 16)"
beef stock pork,PORK SAUSAGE,0.8784749,17.94,2.0,"[16, 18)"
extra beef sirloin,BEEF WITH BONE,0.8243091,19.54,2.0,"[18, 20)"
boston pork bean,PORK HAM,0.8543271,7.93,2.0,"[6, 8)"
roast beef blade,BEEF WITH BONE,0.8432915,19.54,2.0,"[18, 20)"
tone beef base,BEEF WITH BONE,0.8541335,19.54,2.0,"[18, 20)"
no sugar,SOLE FROZEN,0.82148445,14.28,2.0,"[14, 16)"
venison sausage beef,PORK SAUSAGE,0.8798074,17.94,2.0,"[16, 18)"
beef sirloin roast,BEEF WITH BONE,0.8258527,19.54,2.0,"[18, 20)"
beef stewing meat,BEEF WITH BONE,0.87149405,19.54,2.0,"[18, 20)"
cheese ranch dressing,CHEESE SEMIHARD,0.87507355,8.65,2.0,"[8, 10)"
franco american beef gravy,BEEF WITH BONE,0.8158004,19.54,2.0,"[18, 20)"
zapple butter,BUTTER,0.9029497,9.9,2.0,"[8, 10)"
beef stock mix,BEEF WITH BONE,0.8386643,19.54,2.0,"[18, 20)"
beef sirlion roast,BEEF WITH BONE,0.8429605,19.54,2.0,"[18, 20)"
marrow beef,BEEF WITH BONE,0.88927555,19.54,2.0,"[18, 20)"
chevre cheese garlic,CHEESE SEMIHARD,0.8259086,8.65,2.0,"[8, 10)"
gravy beef stock,BEEF WITH BONE,0.87815034,19.54,2.0,"[18, 20)"
beef pocket roast,BEEF WITH BONE,0.8584377,19.54,2.0,"[18, 20)"
campbell pork sauce,PORK SAUSAGE,0.8803456,17.94,2.0,"[16, 18)"
butter pea,BUTTER,0.8374766,9.9,2.0,"[8, 10)"
trim beef rib eye roast,BEEF WITH BONE,0.833247,19.54,2.0,"[18, 20)"
campbell beef gravy,BEEF WITH BONE,0.86397845,19.54,2.0,"[18, 20)"
animal bacon grease,BACON,0.891591,4.03,2.0,"[4, 6)"
beef bouillon base,BEEF WITH BONE,0.8732228,19.54,2.0,"[18, 20)"
beef ribeye roast,BEEF WITH BONE,0.85246515,19.54,2.0,"[18, 20)"
beef turkey,BEEF WITH BONE,0.87731755,19.54,2.0,"[18, 20)"
mix pork stuffing,PORK SAUSAGE,0.8578946,17.94,2.0,"[16, 18)"
beef medallion each,BEEF WITH BONE,0.88641477,19.54,2.0,"[18, 20)"
beef consomme au jus sauce,BEEF WITH BONE,0.8374797,19.54,2.0,"[18, 20)"
beef fillet,BEEF WITH BONE,0.9032445,19.54,2.0,"[18, 20)"
campbell beef broth,BEEF WITH BONE,0.8474432,19.54,2.0,"[18, 20)"
beef chuck roast chunk,PORK SAUSAGE,0.84125507,17.94,2.0,"[16, 18)"
pork pinto bean,PORK HAM,0.8623425,7.93,2.0,"[6, 8)"
kraft cheddar cheese,CHEESE SEMIHARD,0.8750305,8.65,2.0,"[8, 10)"
alize,MEGRIM,0.81225014,14.15,2.0,"[14, 16)"
bacon horseradish dip,BACON,0.8345935,4.03,2.0,"[4, 6)"
chocolate almond coffee flavor,ALMOND CHOCOLATE,0.8686261,4.8,2.0,"[4, 6)"
butter substitute,BUTTER,0.8994184,9.9,2.0,"[8, 10)"
beef well,BEEF WITH BONE,0.87097925,19.54,2.0,"[18, 20)"
kraft reg mozzarella cheese,CHEESE SEMIHARD,0.86955863,8.65,2.0,"[8, 10)"
del monte,CAMEMBERT,0.83965003,7.55,2.0,"[6, 8)"
beef baby back rib rack,BEEF WITH BONE,0.85470456,19.54,2.0,"[18, 20)"
beef bisto,BEEF WITH BONE,0.8887012,19.54,2.0,"[18, 20)"
spicy sausage hamburger,PORK SAUSAGE,0.83674014,17.94,2.0,"[16, 18)"
gilbert beef cheddar sausage,PORK SAUSAGE,0.83354026,17.94,2.0,"[16, 18)"
beef shoulder blade,BEEF WITH BONE,0.8819643,19.54,2.0,"[18, 20)"
grilling strip beef,BEEF WITH BONE,0.8225572,19.54,2.0,"[18, 20)"
beef baby food,BEEF WITH BONE,0.83675104,19.54,2.0,"[18, 20)"
chocolate almond,ALMOND CHOCOLATE,0.986371,4.8,2.0,"[4, 6)"
goat cheese salad dressing,GOAT CHEESE,0.8172726,8.18,2.0,"[8, 10)"
barbecue sauce beef,BEEF WITH BONE,0.8563776,19.54,2.0,"[18, 20)"
beef spread,BEEF WITH BONE,0.87318563,19.54,2.0,"[18, 20)"
hog casing sausage,PORK SAUSAGE,0.90215427,17.94,2.0,"[16, 18)"
aberdeen sirloin steak,BEEF WITH BONE,0.82989717,19.54,2.0,"[18, 20)"
bacon flavour,BACON,0.956375,4.03,2.0,"[4, 6)"
rannoch beef,BEEF WITH BONE,0.81065816,19.54,2.0,"[18, 20)"
belgian chocolate,CHOCOLATE,0.8379279,6.6,2.0,"[6, 8)"
butterfinger bar,BUTTER,0.8247935,9.9,2.0,"[8, 10)"
goat cheese curd,GOAT CHEESE,0.9345531,8.18,2.0,"[8, 10)"
one,SOLE,0.84945375,5.4,2.0,"[4, 6)"
venison beef gravy,BEEF WITH BONE,0.86290985,19.54,2.0,"[18, 20)"
heinz pork sauce,PORK SAUSAGE,0.8908425,17.94,2.0,"[16, 18)"
gamba prawn,PRAWN,0.921522,11.95,2.0,"[10, 12)"
beef bouillon oxo,BEEF WITH BONE,0.88454914,19.54,2.0,"[18, 20)"
pork belly weight,PORK NECK,0.9082768,4.03,2.0,"[4, 6)"
beef stock clove,BEEF WITH BONE,0.847589,19.54,2.0,"[18, 20)"
chocolate nutella,ALMOND CHOCOLATE,0.94440705,4.8,2.0,"[4, 6)"
beef shoulder pot roast,PORK SAUSAGE,0.8255357,17.94,2.0,"[16, 18)"
essence ratafia,GRANA PADANO,0.8207833,14.27,2.0,"[14, 16)"
cream decide what percent,CREAM,0.8400654,5.34,2.0,"[4, 6)"
bailey cream,CREAM,0.85097915,5.34,2.0,"[4, 6)"
bacon stock,BACON,0.9199326,4.03,2.0,"[4, 6)"
pork gravy,PORK SAUSAGE,0.9236457,17.94,2.0,"[16, 18)"
campbell chunky beef vegetable soup,BEEF WITH BONE,0.81770474,19.54,2.0,"[18, 20)"
pork leg shoulder,PORK NECK,0.94222754,4.03,2.0,"[4, 6)"
truvia,CAMEMBERT,0.8522033,7.55,2.0,"[6, 8)"
beef heart calf,BEEF WITH BONE,0.88401055,19.54,2.0,"[18, 20)"
potato cheese pierogi,CHEESE SEMIHARD,0.8127899,8.65,2.0,"[8, 10)"
bourbon vanilla,VANILLA,0.8133286,4.3,2.0,"[4, 6)"
middle cream,CREAM,0.86367154,5.34,2.0,"[4, 6)"
venison sausage,PORK SAUSAGE,0.88843155,17.94,2.0,"[16, 18)"
beef consomme stock,BEEF WITH BONE,0.8460163,19.54,2.0,"[18, 20)"
lamb sparerib,LAMB WITH BONE,0.8209234,18.01,2.0,"[18, 20)"
centre pork loin roast,PORK SAUSAGE,0.88437104,17.94,2.0,"[16, 18)"
sauterne,CAMEMBERT,0.85924304,7.55,2.0,"[6, 8)"
beef arm pot roast,PORK SAUSAGE,0.8238994,17.94,2.0,"[16, 18)"
kosher beef soup mix,BEEF WITH BONE,0.81070733,19.54,2.0,"[18, 20)"
eg shallot,HAKE,0.81901634,10.12,2.0,"[10, 12)"
cheese sauce cheddar,CHEESE SEMIHARD,0.86016226,8.65,2.0,"[8, 10)"
beef prosciutto,BEEF WITH BONE,0.8759567,19.54,2.0,"[18, 20)"
beef rack,BEEF WITH BONE,0.88881505,19.54,2.0,"[18, 20)"
beef strip,BEEF WITH BONE,0.84338385,19.54,2.0,"[18, 20)"
venison steak etc,BEEF WITH BONE,0.8426404,19.54,2.0,"[18, 20)"
beef rump meat,BEEF WITH BONE,0.9067601,19.54,2.0,"[18, 20)"
pork chop cutlet,PORK SAUSAGE,0.8837967,17.94,2.0,"[16, 18)"
curd cheese cottage,CHEESE SEMIHARD,0.8916819,8.65,2.0,"[8, 10)"
butter baking,BUTTER,0.84947693,9.9,2.0,"[8, 10)"
cheese nip,CHEESE SEMIHARD,0.8808951,8.65,2.0,"[8, 10)"
pork chop loin work,PORK SAUSAGE,0.87927175,17.94,2.0,"[16, 18)"
vanilla caramel,ALMOND CHOCOLATE,0.84676456,4.8,2.0,"[4, 6)"
pork stock beef meat,PORK SAUSAGE,0.8512002,17.94,2.0,"[16, 18)"
fakin ' bakin bacon,BACON,0.89667124,4.03,2.0,"[4, 6)"
pepper brie cheese,CHEESE SEMIHARD,0.8259753,8.65,2.0,"[8, 10)"
hillshire sausage,PORK SAUSAGE,0.82608604,17.94,2.0,"[16, 18)"
beef marrow soup,BEEF WITH BONE,0.8759105,19.54,2.0,"[18, 20)"
stew meat beef shank,BEEF WITH BONE,0.8668507,19.54,2.0,"[18, 20)"
sirloin steak beef be,BEEF WITH BONE,0.8859263,19.54,2.0,"[18, 20)"
vermont goat cheese,GOAT CHEESE,0.86611414,8.18,2.0,"[8, 10)"
empty glass,SOLE FROZEN,0.85100746,14.28,2.0,"[14, 16)"
farmer sausage,PORK SAUSAGE,0.8149143,17.94,2.0,"[16, 18)"
veal beef,BEEF WITH BONE,0.87048167,19.54,2.0,"[18, 20)"
extra prawn,PRAWN,0.86038053,11.95,2.0,"[10, 12)"
coppa,CAMEMBERT,0.8355801,7.55,2.0,"[6, 8)"
fiori di,STRACCHINO,0.863613,4.92,2.0,"[4, 6)"
kraft reg parmesan cheese,CHEESE SEMIHARD,0.8615577,8.65,2.0,"[8, 10)"
barilla,CAMEMBERT,0.8531162,7.55,2.0,"[6, 8)"
beef scallopini,BEEF WITH BONE,0.872489,19.54,2.0,"[18, 20)"
asti spumante,PECORINO,0.85448074,18.85,2.0,"[18, 20)"
italian meatball beef,BEEF WITH BONE,0.84251654,19.54,2.0,"[18, 20)"
salumi,HAKE,0.8432052,10.12,2.0,"[10, 12)"
spinach cheese tortellini,CHEESE SEMIHARD,0.85798967,8.65,2.0,"[8, 10)"
deluxe macaroni cheese mix,CHEESE SEMIHARD,0.8281904,8.65,2.0,"[8, 10)"
caprino cheese goat,GOAT CHEESE,0.9379244,8.18,2.0,"[8, 10)"
meat broth beef water,BEEF WITH BONE,0.81167686,19.54,2.0,"[18, 20)"
beef cube steak total,BEEF WITH BONE,0.846608,19.54,2.0,"[18, 20)"
penzey beef roast seasoning,PORK SAUSAGE,0.8120911,17.94,2.0,"[16, 18)"
pecorino cheese milk,CHEESE SEMIHARD,0.8222825,8.65,2.0,"[8, 10)"
extra beef pork,PORK SAUSAGE,0.87018895,17.94,2.0,"[16, 18)"
cheese gnocchi,CHEESE SEMIHARD,0.8783959,8.65,2.0,"[8, 10)"
jalapeno cheddar cheese,CHEESE SEMIHARD,0.82670546,8.65,2.0,"[8, 10)"
fish seasoning,FISH MIXED,0.8868437,4.01,2.0,"[4, 6)"
meat combine beef,BEEF WITH BONE,0.88365287,19.54,2.0,"[18, 20)"
pork shoulder butt roast,PORK SAUSAGE,0.88857687,17.94,2.0,"[16, 18)"
meat beef chuck,BEEF WITH BONE,0.8880464,19.54,2.0,"[18, 20)"
lady savoiardi,MEGRIM,0.81120205,14.15,2.0,"[14, 16)"
breadcrumb pork,PORK SAUSAGE,0.92749083,17.94,2.0,"[16, 18)"
louis pork sparerib,PORK HAM,0.8433957,7.93,2.0,"[6, 8)"
no head,SOLE FROZEN,0.8231133,14.28,2.0,"[14, 16)"
goat cheese young ``,GOAT CHEESE,0.88553095,8.18,2.0,"[8, 10)"
meat beef pork,PORK SAUSAGE,0.8818625,17.94,2.0,"[16, 18)"
kraft pizza cheese,CHEESE SEMIHARD,0.87018883,8.65,2.0,"[8, 10)"
picnic pork shoulder,PORK HAM,0.8254005,7.93,2.0,"[6, 8)"
sausage chorizo,PORK SAUSAGE,0.85550785,17.94,2.0,"[16, 18)"
chicken stock vegetarian,CHICKEN BONE FREE,0.81346214,4.24,2.0,"[4, 6)"
linguica sausage chorizo,PORK SAUSAGE,0.815957,17.94,2.0,"[16, 18)"
presunto,CAMEMBERT,0.8601161,7.55,2.0,"[6, 8)"
seapak shrimp scampi,SHRIMP,0.86746,11.95,2.0,"[10, 12)"
pecorino dolce cheese,CHEESE SEMIHARD,0.86069816,8.65,2.0,"[8, 10)"
chocolate leaf,ALMOND CHOCOLATE,0.9017699,4.8,2.0,"[4, 6)"
pork chop my,PORK NECK,0.8835421,4.03,2.0,"[4, 6)"
hormel bacon bit,BACON,0.9297651,4.03,2.0,"[4, 6)"
calamari steak,BEEF WITH BONE,0.82794,19.54,2.0,"[18, 20)"
netural vanilla powder,VANILLA,0.8628659,4.3,2.0,"[4, 6)"
burrata cheese mozzarella,CHEESE SEMIHARD,0.8683962,8.65,2.0,"[8, 10)"
jumbo cheese ravioli,CHEESE SEMIHARD,0.84290916,8.65,2.0,"[8, 10)"
