RecipeDB Ingredient,Sueatable Ingredient,Similarity,CF
noilly prat,QUINOA,0.8559089,0.96
guava jam,GUAVA,0.85410315,0.28
ordinary white bread,BREAD PLAIN,0.83618504,0.97
sugar cooky,BEET SUGAR,0.8725608,0.89
egg noodle wheat,EGG PASTA,0.8321607,3.19
sunflower oil canola,SUNFLOWER OIL,0.9436767,0.99
sesame oil canola,SESAME SEED,0.89560074,0.88
orange juice concentrate great,ORANGE JUICE,0.8529207,0.62
sirloin steak one,BEEF WITH BONE,0.8296399,19.54
raspberry red wine vinegar,WINE RED,0.82039094,1.02
psyllium oat bran,SORGHUM FLOUR,0.81058204,1.33
beef gravy consomme,BEEF WITH BONE,0.8695253,19.54
cheddar cheese dip,CHEESE SEMIHARD,0.8549581,8.65
beurre manie butter,BUTTER,0.87772834,9.9
too gourmet time stawberry lemonade mix,CRANBERRY JUICE,0.8568258,2.88
fruit raisin cranberry,CRANBERRY JUICE,0.909254,2.88
beef loin sirloin roast,BEEF WITH BONE,0.8291471,19.54
beef strip steak,BEEF WITH BONE,0.88985807,19.54
steak beef,BEEF WITH BONE,0.9094791,19.54
milk lemon juice,CRANBERRY JUICE,0.8123464,2.88
center beef tenderoin roast,BEEF WITH BONE,0.81749415,19.54
coarsley corn chip,CORNFLAKES CEREAL,0.86940676,2.64
barley flour oat,SORGHUM FLOUR,0.88530344,1.33
beef tenderloin crosswise,BEEF WITH BONE,0.8514737,19.54
wei egg noodle,EGG PASTA,0.8803196,3.19
beef rib fine,BEEF WITH BONE,0.8723296,19.54
salt pepper this,PEPPER,0.814772,0.58
chipolata beef sausage,PORK SAUSAGE,0.8649682,17.94
tea green,COFFEE GREEN,0.84604174,0.49
tomato soup calorie,TOMATO CHOP,0.8750435,1.41
butter cracker crumb,FLAVOR CRACKER,0.82117593,1.01
chocolate hershey syrup,HAZELNUT CHOCOLATE,0.9187113,3.43
beef chunk roast,PORK SAUSAGE,0.85678333,17.94
bean medley,BEAN,0.8632401,0.67
using pepper,PEPPER,0.91196036,0.58
semolina meal,CELERY,0.820418,0.32
saltine cracker square,WHOLEGRAIN CRACKER,0.8492822,0.99
lebanese flat bread,BREAD PLAIN,0.81438607,0.97
jiffy cornmeal mix,CORNFLAKES CEREAL,0.85424364,2.64
lemon puree,LEMON,0.88391733,0.22
beef rib rack,BEEF WITH BONE,0.90846014,19.54
apple wood chip,APPLE,0.8857502,0.31
vanilla liquid coffee creamer,COFFEE POWDER,0.8356386,0.33
gravenstein apple,APPLE,0.910498,0.31
grate orange,ORANGE,0.91770875,0.35
carl buddig beef meat,BEEF WITH BONE,0.8721035,19.54
oreo double delight chocolate,CHOCOLATE CREAM COOKY,0.8597514,1.69
ramen noodle beef,BEEF WITH BONE,0.8140411,19.54
margarine by spraying,MARGARINE,0.85937077,1.43
pepperidge,PEPPER,0.87343657,0.58
sesame dressing kraft,SESAME SEED,0.8307747,0.88
fajita marinade,GRANA PADANO,0.8369204,14.27
beef stock pork,PORK SAUSAGE,0.8784749,17.94
extra beef sirloin,BEEF WITH BONE,0.8243091,19.54
peach apricot jam,CRANBERRY JUICE,0.8506351,2.88
course breadcrumb,BREAD WHOLE,0.9000905,0.78
red decorating gel,WINE RED,0.85903263,1.02
boston pork bean,PORK HAM,0.8543271,7.93
roast beef blade,BEEF WITH BONE,0.8432915,19.54
ghiradelli milk chocolate chip,MILK CHOCOLATE,0.9000468,3.6
squeeze orange juice,ORANGE JUICE,0.9508858,0.62
green giant vegetable,GREEN BEAN,0.8901241,0.73
tone beef base,BEEF WITH BONE,0.8541335,19.54
tone,QUORN,0.8620942,2.5
no sugar,SOLE FROZEN,0.82148445,14.28
garlic season,GARLIC,0.88038945,0.67
venison sausage beef,PORK SAUSAGE,0.8798074,17.94
provini veal,CELERY,0.8344273,0.32
fish fillet skin,FISH STICK,0.886214,2.26
beef sirloin roast,BEEF WITH BONE,0.8258527,19.54
orange juice mango,MANGO JUICE,0.8771845,2.96
cranberry beer,CRANBERRY JUICE,0.8889409,2.88
beef stewing meat,BEEF WITH BONE,0.87149405,19.54
cheese ranch dressing,CHEESE SEMIHARD,0.87507355,8.65
green paste food coloring,GREEN BEAN IN CAN,0.8425115,1.45
dark chocolate chunk cocopolo,DARK CHOCOLATE,0.88765526,2.67
franco american beef gravy,BEEF WITH BONE,0.8158004,19.54
cheese soup chicken,CHICKEN WITH BONE,0.85181296,3.25
soy grit,SOY MEAL,0.91198087,0.62
cranberry jell o gelatin,CRANBERRY JUICE,0.89600873,2.88
gluten flour bean,MUNG BEAN FLOUR,0.9451822,1.49
beer may,BEER IN GLASS,0.81758916,1.03
zapple butter,BUTTER,0.9029497,9.9
sauvignon wine red,WINE RED,0.8882824,1.02
beef stock mix,BEEF WITH BONE,0.8386643,19.54
apricot jam pineapple,PINEAPPLE JUICE,0.862362,2.78
beef sirlion roast,BEEF WITH BONE,0.8429605,19.54
graham wafer crust,GRAHAM FLOUR,0.8517715,0.47
marrow beef,BEEF WITH BONE,0.88927555,19.54
chevre cheese garlic,CHEESE SEMIHARD,0.8259086,8.65
gravy beef stock,BEEF WITH BONE,0.87815034,19.54
sugar pumpkin puree,BEET SUGAR,0.8491973,0.89
beef pocket roast,BEEF WITH BONE,0.8584377,19.54
bun bread,BREAD WHOLE,0.88011396,0.78
campbell pork sauce,PORK SAUSAGE,0.8803456,17.94
butter pea,BUTTER,0.8374766,9.9
fruit pear lengthwise,PEAR JUICE,0.8756653,0.49
kamut oat flour,MILLET FLOUR,0.9245785,1.37
red gel,WINE RED,0.8800706,1.02
tbsp kamut flour,MILLET FLOUR,0.8983173,1.37
trim beef rib eye roast,BEEF WITH BONE,0.833247,19.54
apricot mixture fruit,APRICOT,0.8994227,0.36
tasting yeast,YEAST LIQUID,0.8691222,0.5
wheat bread pita,WHOLE WHEAT FLOUR,0.8899057,0.38
balsamic vinegar red wine,WINE RED,0.86065847,1.02
pasta wide egg noodle,EGG PASTA,0.92089635,3.19
rapidmix yeast,YEAST COMPRESS,0.8158384,0.82
campbell beef gravy,BEEF WITH BONE,0.86397845,19.54
animal bacon grease,BACON,0.891591,4.03
kamut,QUORN,0.86663526,2.5
apple juice green grocer,APPLE JUICE,0.81797886,2.84
beef bouillon base,BEEF WITH BONE,0.8732228,19.54
beef ribeye roast,BEEF WITH BONE,0.85246515,19.54
kikkoman teriyaki baste pineapple,PINEAPPLE JUICE,0.88892484,2.78
dandelion root,APRICOT,0.83463603,0.36
peach juice chunky,PEACH,0.83231825,0.43
pea green bean,GREEN BEAN,0.9387634,0.73
potato carrot celery onion,TOMATO CHOP,0.8122989,1.41
beef turkey,BEEF WITH BONE,0.87731755,19.54
mix pork stuffing,PORK SAUSAGE,0.8578946,17.94
beef medallion each,BEEF WITH BONE,0.88641477,19.54
beef consomme au jus sauce,BEEF WITH BONE,0.8374797,19.54
beef fillet,BEEF WITH BONE,0.9032445,19.54
dark chocolate chunk,DARK CHOCOLATE,0.9706994,2.67
sparkling apple juice,APPLE JUICE,0.8689476,2.84
vegetable like carrot,VEGETABLE,0.82073295,0.69
onion gravy,TOMATO CHOP,0.8333881,1.41
campbell beef broth,BEEF WITH BONE,0.8474432,19.54
beef chuck roast chunk,PORK SAUSAGE,0.84125507,17.94
rice olive,RICE,0.8626429,2.54
pork pinto bean,PORK HAM,0.8623425,7.93
bread crumb choice,BREAD MULTICEREAL,0.8564105,0.7
kraft cheddar cheese,CHEESE SEMIHARD,0.8750305,8.65
hershey chocolate candy bar,HAZELNUT CHOCOLATE,0.8937845,3.43
alize,MEGRIM,0.81225014,14.15
vegetable juice water,VEGETABLE,0.82856494,0.69
bacon horseradish dip,BACON,0.8345935,4.03
green grape cluster,GREEN BEAN,0.8541267,0.73
multi grain bread wheat,WHOLE WHEAT FLOUR,0.8915255,0.38
red ale,WINE RED,0.88491476,1.02
cake doughnut,CAKE,0.8851106,2.23
corn niblets vegetable,CORNFLAKES CEREAL,0.8576554,2.64
loaf cocktail bread,BREAD WHOLE,0.8100652,0.78
horseradish mayonnaise,MAYONNAISE,0.8161597,2.04
chocolate almond coffee flavor,ALMOND CHOCOLATE,0.8686261,4.8
sugar pineapple juice,PINEAPPLE JUICE,0.89787626,2.78
cholesterol egg noodle,EGG PASTA,0.81409645,3.19
butter substitute,BUTTER,0.8994184,9.9
apricot jam great,APRICOT,0.82120204,0.36
beef well,BEEF WITH BONE,0.87097925,19.54
kraft reg mozzarella cheese,CHEESE SEMIHARD,0.86955863,8.65
ocean spray cranberry juice,CRANBERRY JUICE,0.85039806,2.88
dumpling egg noodle,EGG PASTA,0.8710984,3.19
individual ritz cracker,WHOLEGRAIN CRACKER,0.8493141,0.99
del monte,CAMEMBERT,0.83965003,7.55
garlic teriyaki sauce,GARLIC,0.8144233,0.67
no salt becel margarine,PESTO WITHOUT GARLIC,0.8571519,2.72
melange pepper,PEPPER,0.88501847,0.58
beef baby back rib rack,BEEF WITH BONE,0.85470456,19.54
chocolate cookie pie crust,CHOCOLATE CREAM COOKY,0.8683669,1.69
rye bread wheat,WHOLE WHEAT FLOUR,0.8519798,0.38
beef bisto,BEEF WITH BONE,0.8887012,19.54
blueberry schnapps,BLUEBERRY JUICE,0.8946357,3.0
spicy sausage hamburger,PORK SAUSAGE,0.83674014,17.94
gilbert beef cheddar sausage,PORK SAUSAGE,0.83354026,17.94
croaker fish,HAKE FISH STICK,0.89214313,2.14
nashi,QUINOA,0.8187969,0.96
cream pie pastry,CHOCOLATE CREAM COOKY,0.8438595,1.69
beef shoulder blade,BEEF WITH BONE,0.8819643,19.54
corn oil margarine,CORNFLAKES CEREAL,0.8382917,2.64
vegetable cracker,TOMATO CHOP,0.8155028,1.41
kellogg corn flake,CORNFLAKES CEREAL,0.90252304,2.64
grilling strip beef,BEEF WITH BONE,0.8225572,19.54
beef baby food,BEEF WITH BONE,0.83675104,19.54
chocolate almond,ALMOND CHOCOLATE,0.986371,4.8
goat cheese salad dressing,GOAT CHEESE,0.8172726,8.18
barbecue sauce beef,BEEF WITH BONE,0.8563776,19.54
brut wine,WINE WHITE,0.81661505,0.74
beef spread,BEEF WITH BONE,0.87318563,19.54
hog casing sausage,PORK SAUSAGE,0.90215427,17.94
chicken stock giblet,CHICKEN WITH BONE,0.8719707,3.25
aberdeen sirloin steak,BEEF WITH BONE,0.82989717,19.54
bacon flavour,BACON,0.956375,4.03
rannoch beef,BEEF WITH BONE,0.81065816,19.54
belgian chocolate,CHOCOLATE,0.8379279,6.6
fruit sugar superfine,STRAWBERRY JUICE,0.8516564,2.68
cocoa sugar,COCOA CAKE,0.9062784,1.97
bailey caramel cream,HAZELNUT CREAM,0.89046156,2.71
milk chocolate cake mix,CHOCOLATE CREAM COOKY,0.9136925,1.69
fine breadcrumb saltine cracker,FLAVOR CRACKER,0.8141252,1.01
butterfinger bar,BUTTER,0.8247935,9.9
veal chicken stock,CHICKEN WITH BONE,0.8499212,3.25
hershey special dark chocolate chip macadamia nut,HAZELNUT CHOCOLATE,0.8325328,3.43
welch grape jelly,GRAPE,0.8158071,0.39
ratafia biscuit,BREAD MULTICEREAL,0.8125845,0.7
candy lemon,STRAWBERRY JUICE,0.82820046,2.68
grouse,GHERKIN,0.8173991,0.23
goat cheese curd,GOAT CHEESE,0.9345531,8.18
sugar strawberry gelatin,STRAWBERRY JUICE,0.89716136,2.68
beet leaf green,GREEN BEAN,0.8755002,0.73
raspberry juice choice,CRANBERRY JUICE,0.9441438,2.88
fragrant red rose,WINE RED,0.8324795,1.02
peppery spice,PEPPER,0.82103187,0.58
one,SOLE,0.84945375,5.4
tomato base barbecue sauce,TOMATO CHOP,0.8332166,1.41
venison beef gravy,BEEF WITH BONE,0.86290985,19.54
heinz pork sauce,PORK SAUSAGE,0.8908425,17.94
halve peach,PEACH,0.9430807,0.43
gamba prawn,PRAWN,0.921522,11.95
fruit strawberry raspberry kiw,STRAWBERRY JUICE,0.8923223,2.68
oatmeal raisin crisp cereal,CORNFLAKES CEREAL,0.8568915,2.64
oat groat,OAT,0.8236333,0.7
beef bouillon oxo,BEEF WITH BONE,0.88454914,19.54
pork belly weight,PORK NECK,0.9082768,4.03
raspberry jam choice,CRANBERRY JUICE,0.90980697,2.88
grain oat flour,SORGHUM FLOUR,0.9128836,1.33
wheat bread cube,WHOLE WHEAT FLOUR,0.87322253,0.38
beef stock clove,BEEF WITH BONE,0.847589,19.54
raspberry pie filling,CRANBERRY JUICE,0.8449995,2.88
bread cube white,BREAD WHOLE,0.814966,0.78
chocolate nutella,ALMOND CHOCOLATE,0.94440705,4.8
beef shoulder pot roast,PORK SAUSAGE,0.8255357,17.94
sugar yellow cake mix,COCOA CAKE,0.8220094,1.97
caramel cube candy,HAZELNUT CHOCOLATE,0.8190253,3.43
lemon orange curd,ORANGE JUICE,0.85322297,0.62
chocolate chip cookie,CHOCOLATE CREAM COOKY,0.9122219,1.69
crushedritz cracker,WHOLEGRAIN CRACKER,0.8901979,0.99
sugar pink,STRAWBERRY,0.832554,0.68
vermicelli egg noodle filini pasta,EGG PASTA,0.87937516,3.19
pre cake,CAKE,0.84959257,2.23
strawberry fruit,STRAWBERRY JUICE,0.9456408,2.68
chocolate pastry cream,CHOCOLATE CREAM COOKY,0.94581664,1.69
egg yolk lolol,EGG,0.8293463,3.23
christie toppable cracker,WHOLEGRAIN CRACKER,0.85520214,0.99
blueberry vinegar,BLUEBERRY JUICE,0.9167621,3.0
essence ratafia,GRANA PADANO,0.8207833,14.27
snack cracker,FLAVOR CRACKER,0.8911837,1.01
cake food,CAKE,0.9637909,2.23
cream decide what percent,CREAM,0.8400654,5.34
cracker grain nice,FLAVOR CRACKER,0.83533293,1.01
kraft vanilla caramel,CHOCOLATE CREAM COOKY,0.835689,1.69
oat biscuit,OAT MEAL,0.8738305,1.13
divine fairtrade cocoa,HAZELNUT CHOCOLATE,0.8295196,3.43
milk chocolate frosting,MILK CHOCOLATE,0.9603455,3.6
garnish almond,ALMOND PASTE,0.9489352,2.98
bailey cream,CREAM,0.85097915,5.34
lemon verbena herbal simple syrup lemonade etc,CRANBERRY JUICE,0.8209996,2.88
sugar teriyaki sauce,BEET SUGAR,0.82682574,0.89
baker dark chocolate square,DARK CHOCOLATE,0.84038264,2.67
bite wheat cereal,CORNFLAKES CEREAL,0.8857043,2.64
sugar cake,COCOA CAKE,0.8634701,1.97
sugar chocolate,HAZELNUT CHOCOLATE,0.9115472,3.43
white chocolate baking bar,CHOCOLATE CREAM COOKY,0.8633255,1.69
orange brandy,ORANGE JUICE,0.8614611,0.62
dessert pear,PEAR JUICE,0.90600646,0.49
petit brand pear nectar,PEAR JUICE,0.8673875,0.49
gimmie soy,SOY CREAM,0.8391419,1.62
bacon stock,BACON,0.9199326,4.03
pork gravy,PORK SAUSAGE,0.9236457,17.94
apricot puree,APRICOT,0.95148116,0.36
vanilla buttercream,CHOCOLATE CREAM COOKY,0.8562336,1.69
green apple bubble,GREEN BEAN,0.8310946,0.73
walnut vinegar,WALNUT,0.83811957,1.75
sugar crystal orange,BEET SUGAR,0.81652975,0.89
strawberry fruit preserve raspberry,CRANBERRY JUICE,0.86244744,2.88
campbell chunky beef vegetable soup,BEEF WITH BONE,0.81770474,19.54
extra toblerone chocolate bar,HAZELNUT CHOCOLATE,0.87858605,3.43
veal chicken,CHICKEN WITH BONE,0.87985843,3.25
pillsbury cranberry bread mix,CRANBERRY JUICE,0.82249594,2.88
toblerone chocolate bar milk,MILK CHOCOLATE,0.9205047,3.6
molasses sugar,BEET SUGAR,0.8365445,0.89
lime curd,LIME,0.8475596,0.22
loaf bread toast,BREAD WHOLE,0.8802017,0.78
bite corn chex,CORNFLAKES CEREAL,0.82529706,2.64
pork leg shoulder,PORK NECK,0.94222754,4.03
almond granola,ALMOND PASTE,0.93729067,2.98
rice bran,RICE,0.8917273,2.54
truvia,CAMEMBERT,0.8522033,7.55
hershey dark cocoa,DARK CHOCOLATE,0.8706091,2.67
cream squirty,HAZELNUT CREAM,0.8697346,2.71
mini chocolate egg,HAZELNUT CHOCOLATE,0.87036324,3.43
quaker harvest crunch cereal,CORNFLAKES CEREAL,0.81748486,2.64
beef heart calf,BEEF WITH BONE,0.88401055,19.54
turkey breast fillet,TURKEY WITH BONE,0.8233713,2.08
potato cheese pierogi,CHEESE SEMIHARD,0.8127899,8.65
bourbon vanilla,VANILLA,0.8133286,4.3
milk chocolate candy bar chip,MILK CHOCOLATE,0.88740826,3.6
chocolate butter cake mix,CHOCOLATE CREAM COOKY,0.9132842,1.69
honey nut cheerio,CASHEW NUT,0.8268751,1.56
green yellow bean,GREEN BEAN,0.95081174,0.73
rye crispbread,CRISPBREAD,0.8757049,1.36
tomato olive basil rub,TOMATO PUREE,0.8379707,1.17
middle cream,CREAM,0.86367154,5.34
berry syrup,CRANBERRY JUICE,0.8715209,2.88
omega egg,EGG,0.82427484,3.23
venison sausage,PORK SAUSAGE,0.88843155,17.94
barbados sugar,CANE SUGAR,0.85953236,0.67
strawberry daiquiri mix,CRANBERRY JUICE,0.84387183,2.88
beef consomme stock,BEEF WITH BONE,0.8460163,19.54
lamb sparerib,LAMB WITH BONE,0.8209234,18.01
almond choice nut,ALMOND PASTE,0.912423,2.98
ore ida onion tater tot,ONION,0.8130252,0.24
centre pork loin roast,PORK SAUSAGE,0.88437104,17.94
more yeast,YEAST LIQUID,0.83621293,0.5
raspberry vinaigrette dressing,CRANBERRY JUICE,0.89603025,2.88
orange kool aid,ORANGE JUICE,0.82046604,0.62
vh garlic sauce,GARLIC,0.8559902,0.67
sauterne,CAMEMBERT,0.85924304,7.55
beef arm pot roast,PORK SAUSAGE,0.8238994,17.94
fisher reg ; walnut half,WALNUT,0.8452091,1.75
kosher beef soup mix,BEEF WITH BONE,0.81070733,19.54
garlic tomato vinaigrette,TOMATO ARRABBIATA,0.8417243,1.26
heirloom tomato mixing green,TOMATO PEEL,0.8760843,1.28
heirloom tomato try combine different,TOMATO PEEL,0.8246853,1.28
eg shallot,HAKE,0.81901634,10.12
heirloom tomato salsa,TOMATO ARRABBIATA,0.83884454,1.26
soy flour cracker crumb,MUNG BEAN FLOUR,0.82632834,1.49
sugar peach gelatin mix,CRANBERRY JUICE,0.81413805,2.88
breadcrumb meat,OAT MEAL,0.8320278,1.13
burrito wheat tortilla,CORNFLAKES CEREAL,0.8519746,2.64
amish egg noodle,EGG PASTA,0.88937163,3.19
cereal e bran corn flake,CORNFLAKES CEREAL,0.9606218,2.64
cheese sauce cheddar,CHEESE SEMIHARD,0.86016226,8.65
biscuit each,BREAD WHOLE,0.8239667,0.78
vegetable tomato etc,TOMATO PEEL,0.9120202,1.28
tomato including juice,TOMATO PUREE,0.89088,1.17
beef prosciutto,BEEF WITH BONE,0.8759567,19.54
white chocolate chunk chip,CHOCOLATE CREAM COOKY,0.84228516,1.69
beef rack,BEEF WITH BONE,0.88881505,19.54
kaffir lime,LIME,0.89911467,0.22
cane juice,CANE SUGAR,0.85291827,0.67
cocoa powder dark chocolate,DARK CHOCOLATE,0.8515501,2.67
hershy peanut butter kiss,PEANUT BUTTER,0.8962332,1.15
hershey peanut butter,PEANUT BUTTER,0.9329735,1.15
teriyaki sauce peanut,PEANUT PASTE,0.8767109,1.84
graham wafer crumb chocolate cookie,CHOCOLATE CREAM COOKY,0.889743,1.69
chunky tomato,TOMATO,0.8469013,0.48
kraft special tomato,TOMATO PEEL,0.83004206,1.28
whiskey apple juice,APPLE JUICE,0.844163,2.84
tomatillo tomato,TOMATO CHOP,0.9056901,1.41
beef strip,BEEF WITH BONE,0.84338385,19.54
vanilla cupcake,CHOCOLATE CREAM COOKY,0.84111834,1.69
alcaparrado olive,OLIVE,0.8520887,0.59
pasta sauce garden tomato,TOMATO CHOP,0.8580504,1.41
fruit sugar berry,STRAWBERRY JUICE,0.87589866,2.68
chocolate cupcake,CHOCOLATE CREAM COOKY,0.9106358,1.69
haddock chunk,HADDOCK,0.8768663,3.25
pollock chunk,POLLOCK STICK,0.9298724,2.14
red pepper crosswise,RED CHILLI,0.8437052,0.8
pickle beet juice,BEET SUGAR,0.8338355,0.89
shallot gravy,OAT MEAL,0.8112813,1.13
cranberry trail mix,CRANBERRY,0.8909403,0.9
stack saltine cracker,WHOLEGRAIN CRACKER,0.8346659,0.99
green tomato relish,TOMATO PEEL,0.8555114,1.28
lemon fruit,LEMON,0.8394969,0.22
apricot pineapple jam,PINEAPPLE JUICE,0.87711537,2.78
cake decoration,CAKE,0.9437646,2.23
lemon jam,CRANBERRY JUICE,0.8493031,2.88
venison steak etc,BEEF WITH BONE,0.8426404,19.54
almond water,ALMOND PASTE,0.9350606,2.98
food cake mix,CAKE,0.9128289,2.23
beef rump meat,BEEF WITH BONE,0.9067601,19.54
dark chocolate dipping,DARK CHOCOLATE,0.9482845,2.67
almond more,ALMOND,0.90462047,1.9
pork chop cutlet,PORK SAUSAGE,0.8837967,17.94
graham cracker work,WHOLEGRAIN CRACKER,0.833633,0.99
curd cheese cottage,CHEESE SEMIHARD,0.8916819,8.65
sugar white chocolate pudding mix,CHOCOLATE CREAM COOKY,0.88183784,1.69
lucky leaf apple pie filling,APPLE JUICE,0.83053166,2.84
whey yogurt cheese,SOY YOGURT,0.9184811,1.36
tea biscuit dough,COCOA CAKE,0.8324136,1.97
bake yeast,YEAST COMPRESS,0.908944,0.82
buckwheat flake,BUCKWHEAT FLOUR,0.8563384,1.96
quaker caramel corn rice cake,CORNFLAKES CEREAL,0.82068264,2.64
butter baking,BUTTER,0.84947693,9.9
pork sparerib back rib,PORK WITH BONE,0.8896138,3.5
cheese nip,CHEESE SEMIHARD,0.8808951,8.65
cranberry chutney,CRANBERRY JUICE,0.8990147,2.88
jiffy raspberry muffin mix,CHOCOLATE CREAM COOKY,0.83354306,1.69
ham stock chicken broth,CHICKEN WITH BONE,0.8453779,3.25
bread cracker,BREAD WHOLE,0.850069,0.78
pork chop loin work,PORK SAUSAGE,0.87927175,17.94
cranberry almond,CRANBERRY,0.9158119,0.9
vanilla caramel,ALMOND CHOCOLATE,0.84676456,4.8
pork stock beef meat,PORK SAUSAGE,0.8512002,17.94
fakin ' bakin bacon,BACON,0.89667124,4.03
hot dog chicken,CHICKEN WITH BONE,0.8275365,3.25
coffee brandy,COFFEE POWDER,0.91317046,0.33
tang orange drink,ORANGE JUICE,0.8872087,0.62
bran cereal flake,CORNFLAKES CEREAL,0.87625825,2.64
peach ice cream,ICE CREAM,0.84334236,1.02
pepper brie cheese,CHEESE SEMIHARD,0.8259753,8.65
banana nice,BANANA,0.8539489,0.38
hillshire sausage,PORK SAUSAGE,0.82608604,17.94
champagne pineapple juice,PINEAPPLE JUICE,0.85671335,2.78
celery juice,CELERY,0.8860879,0.32
strawberry applesauce,STRAWBERRY JUICE,0.9014993,2.68
agave syrup sugar,BEET SUGAR,0.8707168,0.89
green baby pea,GREEN BEAN,0.8857807,0.73
red pepper tsp,RED CHILLI,0.84966004,0.8
square bread wheat,WHEAT PLAIN FLOUR,0.88600826,0.61
worcestershire sauce chicken,CHICKEN WITH BONE,0.8175395,3.25
chicken bouillon concentrate,CHICKEN WITH BONE,0.84275985,3.25
apple cider drink mix,APPLE JUICE,0.8648454,2.84
turkey heart,TURKEY WITH BONE,0.8565322,2.08
cooking oil not olive,PESTO WITHOUT GARLIC,0.8279672,2.72
beef marrow soup,BEEF WITH BONE,0.8759105,19.54
stew meat beef shank,BEEF WITH BONE,0.8668507,19.54
sirloin steak beef be,BEEF WITH BONE,0.8859263,19.54
syrup corn,CORNFLAKES CEREAL,0.874171,2.64
vermont goat cheese,GOAT CHEESE,0.86611414,8.18
orange extract liqueur,ORANGE JUICE,0.83900905,0.62
sugar green,BEET SUGAR,0.8279699,0.89
empty glass,SOLE FROZEN,0.85100746,14.28
tang orange drink mix,ORANGE JUICE,0.84097505,0.62
sugar tea mix lemon,CRANBERRY JUICE,0.81408477,2.88
milk chocolate star,MILK CHOCOLATE,0.95997643,3.6
farmer sausage,PORK SAUSAGE,0.8149143,17.94
anisette flavoring,CELERY,0.8121871,0.32
lemon pulp,LEMON,0.8937959,0.22
really coffee,COFFEE POWDER,0.8844063,0.33
fine chocolate cocoa powder,HAZELNUT CHOCOLATE,0.877587,3.43
chicken stock water bouillon cube,CHICKEN WITH BONE,0.8172317,3.25
margherite cooky,COOKY,0.8322819,1.5
veal beef,BEEF WITH BONE,0.87048167,19.54
coffee liqueur water,COFFEE FILTER,0.912081,0.6
borlotti bean cranberry,CRANBERRY JUICE,0.8798698,2.88
egg rotini pasta,EGG PASTA,0.94585985,3.19
artisan gluten flour,SORGHUM FLOUR,0.875048,1.33
pama pomegranate liqueur,POMEGRANATE,0.8389635,0.45
flavoring orange,ORANGE JUICE,0.872741,0.62
grape jam,GRAPE,0.86056685,0.39
raspberry preserve sugar,CRANBERRY JUICE,0.84984165,2.88
cinnamon baking chip chocolate morsel,CHOCOLATE CREAM COOKY,0.8967042,1.69
up almond,ALMOND,0.92565805,1.9
dark mini chocolate chip,DARK CHOCOLATE,0.8566124,2.67
bell pepper red,RED CHILLI,0.8209725,0.8
godiva praline hazelnut biscuit,HAZELNUT PASTE,0.88520956,1.69
godiva dark chocolate heart biscuit,CHOCOLATE CREAM COOKY,0.84219193,1.69
tomato alfredo sauce,TOMATO CHOP,0.8576078,1.41
hazelnut wafer biscuit,HAZELNUT PASTE,0.87870526,1.69
gluten flour almond coconut,HAZELNUT CHOCOLATE,0.827756,3.43
dannon lemon yogurt,SOY YOGURT,0.8865839,1.36
caramel apple dip,CRANBERRY JUICE,0.850963,2.88
lemon extract orange,ORANGE JUICE,0.8948982,0.62
pepperoni genoa salami,ZUCCHINI,0.8136194,0.65
ghirardelli white baking chocolate,CHOCOLATE CREAM COOKY,0.8749025,1.69
extra prawn,PRAWN,0.86038053,11.95
planter almond,ALMOND,0.8700304,1.9
ghirardelli dark chocolate chip,HAZELNUT CHOCOLATE,0.8359361,3.43
fig jam choice,FIG JUICE,0.8378007,3.2
coppa,CAMEMBERT,0.8355801,7.55
food coloring green,GREEN BEAN IN CAN,0.81998646,1.45
tortellini egg,EGG,0.834898,3.23
wheat penne ditalini,DURUM WHEAT,0.92013097,0.48
almond extract oil,ALMOND PASTE,0.8935251,2.98
lemon oil,LEMON,0.87359136,0.22
lemon tb,LEMON,0.8797659,0.22
coffee espresso,COFFEE FILTER,0.89578027,0.6
devil food cake mix chocolate,CHOCOLATE CREAM COOKY,0.83484566,1.69
sugar white cake mix,COCOA CAKE,0.8124168,1.97
fruit jam jelly,CRANBERRY JUICE,0.83735824,2.88
almond extract orange,ALMOND PASTE,0.86097634,2.98
dram anise oil,RADISH,0.8146403,0.15
ice cream bucket,ICE CREAM,0.95559204,1.02
vanilla gelato,HAZELNUT CREAM,0.81493384,2.71
cocoa powder dark,DARK CHOCOLATE,0.85929215,2.67
jam apricot,APRICOT,0.89361805,0.36
strega,GHERKIN,0.8854588,0.23
multi color pepper,PEPPER,0.8135196,0.58
bar milk chocolate candy,MILK CHOCOLATE,0.88866127,3.6
raspberry fruit jam,CRANBERRY JUICE,0.93012,2.88
chocolate sandwich,HAZELNUT CHOCOLATE,0.87890416,3.43
chocolate hazelnut cream wafer,HAZELNUT CHOCOLATE,0.94281685,3.43
fiori di,STRACCHINO,0.863613,4.92
calamata olive,OLIVE,0.9204931,0.59
rose lime syrup,CRANBERRY JUICE,0.83271086,2.88
up wheat lasagna noodle,SOY YOGURT,0.8132553,1.36
kraft reg parmesan cheese,CHEESE SEMIHARD,0.8615577,8.65
whipping cream dessert topping,CHOCOLATE CREAM COOKY,0.82997507,1.69
barilla,CAMEMBERT,0.8531162,7.55
post cranberry almond crunch cereal,CORNFLAKES CEREAL,0.8499843,2.64
wheat spiral pasta,WHOLE WHEAT FLOUR,0.8292191,0.38
